movieid,title,url,Image,genre,age,runningtime,opendate,rate,actors,story,story_cleaning,result,result2,genre2,combined
105,리디밍 러브,http://www.cine21.com/movie/info/?movie_id=58893,"https://image.cine21.com/resize/cine21/poster/2022/0310/58893_62295f79451ae[X224,320].jpg",멜로·로맨스,15세이상관람가, 134분, 2022-03-23,5.0," 
													아비게일 코웬													톰 루이스													 ","올 봄, 이 사랑이 당신을 꿈꾸게 한다!
									누구나 품을 수 있지만, 누구도 소유할 수 없는 ‘엔젤’
단 한 번도 원하는 삶을 살아본 적 없던 그녀에게
운명처럼 오직 그녀를 사랑하는 남자가 나타난다
무조건적인 그의 사랑에 ‘엔젤’은 매번 도망치지만
조금씩, 그리고 천천히 진정한 세상을 알아가는데…

사랑이 이끄는 순간, 눈부신 기적이 시작된다!",올 봄 이 사랑이 당신을 꿈꾸게 한다 누구나 품을 수 있지만 누구도 소유할 수 없는 엔젤 단 한 번도 원하는 삶을 살아본 적 없던 그녀에게 운명처럼 오직 그녀를 사랑하는 남자가 나타난다 무조건적인 그의 사랑에 엔젤 은 매번 도망치지만 조금씩 그리고 천천히 진정한 세상을 알아가는데 사랑이 이끄는 순간 눈부신 기적이 시작된다 ,"['봄', '이', '사랑', '당신', '누구', '품', '수', '있다', '누구', '소유', '수', '없다', '엔젤', '단', '번', '원하다', '삶', '살', '적', '없다', '그녀', '운명', '오직', '그녀', '사랑', '남자', '무조건', '그', '사랑', '엔젤', '은', '매번', '진정하다', '세상', '사랑', '순간', '눈부시다', '기적', '시작']",봄 이 사랑 당신 누구 품 수 있다 누구 소유 수 없다 엔젤 단 번 원하다 삶 살 적 없다 그녀 운명 오직 그녀 사랑 남자 무조건 그 사랑 엔젤 은 매번 진정하다 세상 사랑 순간 눈부시다 기적 시작,멜로·로맨스,멜로·로맨스 봄 이 사랑 당신 누구 품 수 있다 누구 소유 수 없다 엔젤 단 번 원하다 삶 살 적 없다 그녀 운명 오직 그녀 사랑 남자 무조건 그 사랑 엔젤 은 매번 진정하다 세상 사랑 순간 눈부시다 기적 시작
106,리스펙트,http://www.cine21.com/movie/info/?movie_id=58305,"https://image.cine21.com/resize/cine21/poster/2021/0817/11_03_48__611b19044e182[X224,320].jpg",드라마,12세이상관람가, 145분, 2021-09-08,8.0," 
													제니퍼 허드슨													포레스트 휘태커													 ","“내가 부르고 싶은 노래를 부를래요”
									내면의 폭풍을 이겨낸 강한 여자
세상을 바꾸고 영혼을 위로한 환상의 디바
아레사 프랭클린.

올가을, 그녀의 노래가 울려 퍼진다!", 내가 부르고 싶은 노래를 부를래요 내면의 폭풍을 이겨낸 강한 여자 세상을 바꾸고 영혼을 위로한 환상의 디바 아레사 프랭클린 올가을 그녀의 노래가 울려 퍼진다 ,"['내', '노래', '내면', '폭풍', '강하다', '여자', '세상', '영혼', '위로', '환상', '디바', '아레사', '프랭클린', '올가을', '그녀', '노래']",내 노래 내면 폭풍 강하다 여자 세상 영혼 위로 환상 디바 아레사 프랭클린 올가을 그녀 노래,드라마,드라마 내 노래 내면 폭풍 강하다 여자 세상 영혼 위로 환상 디바 아레사 프랭클린 올가을 그녀 노래
107,리슨,http://www.cine21.com/movie/info/?movie_id=57413,"https://image.cine21.com/resize/cine21/poster/2021/1104/16_33_53__61838ce1c6032[X224,320].jpg",드라마,12세이상관람가, 78분, 2021-12-09,6.67," 
													루시아 모니즈													메이지 슬라이													 ","가난한 이민자 출신으로 런던 교외에서 3남매를 키우며 살아가는 벨라.
어느 날 청각장애를 가진 딸의 몸에 난 멍자국이 정부 당국의 오해를 부르고
벨라의 아이들은 강제입양 당할 상황에 처한다.
자신의 가난과 남편의 실직, 그리고 딸의 장애에도 침묵하던 사회 시스템은
한 순간에 나타나 그녀와 가족의 삶을 아프게 흔들어 놓는다.",가난한 이민자 출신으로 런던 교외에서 3남매를 키우며 살아가는 벨라 어느 날 청각장애를 가진 딸의 몸에 난 멍자국이 정부 당국의 오해를 부르고 벨라의 아이들은 강제입양 당할 상황에 처한다 자신의 가난과 남편의 실직 그리고 딸의 장애에도 침묵하던 사회 시스템은 한 순간에 나타나 그녀와 가족의 삶을 아프게 흔들어 놓는다 ,"['가난하다', '이민자', '출신', '런던', '교외', '남매', '벨라', '날', '청각장애', '딸', '몸', '난', '멍', '자국', '정부', '당국', '오해', '벨라', '아이', '강제', '입양', '당하다', '상황', '처', '자신', '가난', '남편', '실직', '딸', '장애', '침묵', '사회', '시스템', '순간', '그녀', '가족', '삶', '아프다']",가난하다 이민자 출신 런던 교외 남매 벨라 날 청각장애 딸 몸 난 멍 자국 정부 당국 오해 벨라 아이 강제 입양 당하다 상황 처 자신 가난 남편 실직 딸 장애 침묵 사회 시스템 순간 그녀 가족 삶 아프다,드라마,드라마 가난하다 이민자 출신 런던 교외 남매 벨라 날 청각장애 딸 몸 난 멍 자국 정부 당국 오해 벨라 아이 강제 입양 당하다 상황 처 자신 가난 남편 실직 딸 장애 침묵 사회 시스템 순간 그녀 가족 삶 아프다
108,리코리쉬 피자,http://www.cine21.com/movie/info/?movie_id=58815,"https://image.cine21.com/resize/cine21/poster/2022/0118/58815_61e6227ce11a0[X224,320].jpg","코미디, 멜로·로맨스, 드라마",15세이상관람가, 134분, 2022-02-16,7.83," 
													알라나 하임													쿠퍼 호프만													 ","무엇이든 될 수 있을 것 같고
아무것도 될 수 없을 것 같은
사랑에 빠진 소년 개리와
불안한 20대를 지나고 있는 알라나

1973년 어느 찬란한 여름날
청춘의 한복판으로 달려가는 그들의 이야기",무엇이든 될 수 있을 것 같고 아무것도 될 수 없을 것 같은 사랑에 빠진 소년 개리와 불안한 20대를 지나고 있는 알라나 1973년 어느 찬란한 여름날 청춘의 한복판으로 달려가는 그들의 이야기,"['무엇', '수', '있다', '것', '같다', '것', '수', '없다', '것', '같다', '사랑', '소년', '개리', '불안하다', '있다', '알라', '찬란하다', '여름날', '청춘', '복판', '그', '이야기']",무엇 수 있다 것 같다 것 수 없다 것 같다 사랑 소년 개리 불안하다 있다 알라 찬란하다 여름날 청춘 복판 그 이야기,코미디  멜로·로맨스  드라마,코미디  멜로·로맨스  드라마 무엇 수 있다 것 같다 것 수 없다 것 같다 사랑 소년 개리 불안하다 있다 알라 찬란하다 여름날 청춘 복판 그 이야기
109,마세티 킬즈,http://www.cine21.com/movie/info/?movie_id=40488,"https://image.cine21.com/resize/cine21/poster/2021/0601/11_33_07__60b59c636df5a[X224,320].jpg","코미디, 액션, 스릴러, 블록버스터, 범죄",청소년 관람불가, 107분, 2021-06-17,5.8," 
													대니 트레조(마셰티 코르테스)													멜 깁슨(루더 보즈)													 ","전 세계를 폭파시킬 미사일 테러를 계획하는 
억만장자 무기상인 ‘루더 보즈’(멜 깁슨)
정보를 입수한 미국 대통령은 이를 막기 위해
마성의 살인 병기 ‘마세티’(대니 트레조)를 고용하고

임무를 완수하기 위해 멕시코로 건너간 그는
예상치 못한 적들과 마주하는데…

과연, 마세티는 전 세계의 평화를 지켜낼 수 있을 것인가!

2021년, 웃겨주게 죽여줄 Z급 킬링 액션이 온다!",전 세계를 폭파시킬 미사일 테러를 계획하는 억만장자 무기상인 루더 보즈 멜 깁슨 정보를 입수한 미국 대통령은 이를 막기 위해 마성의 살인 병기 마세티 대니 트레조 를 고용하고 임무를 완수하기 위해 멕시코로 건너간 그는 예상치 못한 적들과 마주하는데 과연 마세티는 전 세계의 평화를 지켜낼 수 있을 것인가 2021년 웃겨주게 죽여줄 Z급 킬링 액션이 온다 ,"['전', '세계', '폭파', '미사일', '테러', '계획', '억만장자', '무기', '상인', '루더', '보즈', '깁슨', '정보', '입수', '미국', '대통령', '위해', '마', '성의', '살인', '병기', '마', '세티', '대니', '트', '레조', '를', '고용', '임무', '완수', '위해', '멕시코', '그', '상치', '못', '적', '마주', '과연', '마', '세티', '전', '세계', '평화', '낼', '수', '있다', '것', '급', '킬링', '액션']",전 세계 폭파 미사일 테러 계획 억만장자 무기 상인 루더 보즈 깁슨 정보 입수 미국 대통령 위해 마 성의 살인 병기 마 세티 대니 트 레조 를 고용 임무 완수 위해 멕시코 그 상치 못 적 마주 과연 마 세티 전 세계 평화 낼 수 있다 것 급 킬링 액션,코미디  액션  스릴러  블록버스터  범죄,코미디  액션  스릴러  블록버스터  범죄 전 세계 폭파 미사일 테러 계획 억만장자 무기 상인 루더 보즈 깁슨 정보 입수 미국 대통령 위해 마 성의 살인 병기 마 세티 대니 트 레조 를 고용 임무 완수 위해 멕시코 그 상치 못 적 마주 과연 마 세티 전 세계 평화 낼 수 있다 것 급 킬링 액션
110,마이 뉴욕 다이어리,http://www.cine21.com/movie/info/?movie_id=57821,"https://image.cine21.com/resize/cine21/poster/2021/1124/10_20_58__619d937a42008[X224,320].jpg",드라마,12세이상관람가, 101분, 2021-12-09,5.67," 
													시고니 위버													마가렛 퀄리													 ","“평범한 건 싫어요, 특별해지고 싶어요”
									1995년 작가를 꿈꾸는 조안나는
뉴욕에서 가장 오래된 작가 에이전시에
CEO 마가렛의 조수로 입사한다.

출근 첫날, ‘호밀밭의 파수꾼’의 작가 J.D. 샐린저의
팬레터에 기계적으로 응대하라는 지시를 받지만,
조안나는 그들에게 진심 어린 답장을 보내려 한다.", 평범한 건 싫어요 특별해지고 싶어요 1995년 작가를 꿈꾸는 조안나는 뉴욕에서 가장 오래된 작가 에이전시에 CEO 마가렛의 조수로 입사한다 출근 첫날 호밀밭의 파수꾼 의 작가 J D 샐린저의 팬레터에 기계적으로 응대하라는 지시를 받지만 조안나는 그들에게 진심 어린 답장을 보내려 한다 ,"['평범하다', '건', '싫다', '특별하다', '작가', '안나', '뉴욕', '가장', '오래되다', '작가', '에이전시', '마가렛', '조수', '입사', '출근', '첫날', '호밀', '밭', '파수', '의', '작가', '샐린저', '팬레터', '기계', '응대', '지시', '안나', '그', '진심', '답장']",평범하다 건 싫다 특별하다 작가 안나 뉴욕 가장 오래되다 작가 에이전시 마가렛 조수 입사 출근 첫날 호밀 밭 파수 의 작가 샐린저 팬레터 기계 응대 지시 안나 그 진심 답장,드라마,드라마 평범하다 건 싫다 특별하다 작가 안나 뉴욕 가장 오래되다 작가 에이전시 마가렛 조수 입사 출근 첫날 호밀 밭 파수 의 작가 샐린저 팬레터 기계 응대 지시 안나 그 진심 답장
111,만년이 지나도 변하지 않는 게 있어,http://www.cine21.com/movie/info/?movie_id=58195,"https://image.cine21.com/resize/cine21/poster/2022/0111/58195_61dcd64fd3289[X224,320].jpg","판타지, 코미디, 액션, 멜로·로맨스, 공포",, 128분, 2022-02-09,5.5," 
													가진동													송운화													 ","샤오미(송운화)만 사랑해 온 직진남 샤오룬(가진동),
하지만 청혼하려던 순간 갑작스런 사고로 저승에 간다.
환생하고 싶으면 붉은 실로 커플 매칭을 하는 월하노인 업무를 수행해야 한다는데,
하필 사사건건 부딪히던 핑키(왕정)와 파트너가 된다.

드디어 이승으로 내려온 ‘월하노인’ 샤오룬과 핑키.
그런데 이게 웬 운명의 장난?
우리가 인연을 맺어줘야 할 인간이
샤오룬이 평생 사랑했던 단 한 사람, 샤오미란다!",샤오미 송운화 만 사랑해 온 직진남 샤오룬 가진동 하지만 청혼하려던 순간 갑작스런 사고로 저승에 간다 환생하고 싶으면 붉은 실로 커플 매칭을 하는 월하노인 업무를 수행해야 한다는데 하필 사사건건 부딪히던 핑키 왕정 와 파트너가 된다 드디어 이승으로 내려온 월하노인 샤오룬과 핑키 그런데 이게 웬 운명의 장난 우리가 인연을 맺어줘야 할 인간이 샤오룬이 평생 사랑했던 단 한 사람 샤오미란다 ,"['샤오미', '송운화', '만', '사랑', '온', '직진', '남', '샤오룬', '가진동', '청혼', '순간', '갑작스럽다', '사고', '저승', '간다', '환생하다', '붉다', '실로', '커플', '매칭', '월', '업무', '수행', '하필', '사사건건', '핑키', '왕정', '파트너', '이승', '월', '샤오룬', '핑키', '이', '웬', '운명', '장난', '우리', '인연', '인간', '샤오룬', '평생', '사랑', '단', '사람', '샤오미', '란']",샤오미 송운화 만 사랑 온 직진 남 샤오룬 가진동 청혼 순간 갑작스럽다 사고 저승 간다 환생하다 붉다 실로 커플 매칭 월 업무 수행 하필 사사건건 핑키 왕정 파트너 이승 월 샤오룬 핑키 이 웬 운명 장난 우리 인연 인간 샤오룬 평생 사랑 단 사람 샤오미 란,판타지  코미디  액션  멜로·로맨스  공포,판타지  코미디  액션  멜로·로맨스  공포 샤오미 송운화 만 사랑 온 직진 남 샤오룬 가진동 청혼 순간 갑작스럽다 사고 저승 간다 환생하다 붉다 실로 커플 매칭 월 업무 수행 하필 사사건건 핑키 왕정 파트너 이승 월 샤오룬 핑키 이 웬 운명 장난 우리 인연 인간 샤오룬 평생 사랑 단 사람 샤오미 란
112,말리그넌트,http://www.cine21.com/movie/info/?movie_id=58255,"https://image.cine21.com/resize/cine21/poster/2021/0907/17_23_16__6137217435e28[X224,320].jpg","스릴러, 미스터리",청소년 관람불가, 111분, 2021-09-15,6.67," 
													애나벨 월리스													매디 해슨													 ","살인이 계속될수록 더 가까이 다가온다, 당신 뒤로
									폭력 남편의 죽음 이후, 연쇄 살인 현장이 보이기 시작했다!
그리고 어릴 적 상상 속의 친구 ‘가브리엘’이 진짜로 나타나는데…
“가브리엘, 넌 대체 누구야 ”",살인이 계속될수록 더 가까이 다가온다 당신 뒤로 폭력 남편의 죽음 이후 연쇄 살인 현장이 보이기 시작했다 그리고 어릴 적 상상 속의 친구 가브리엘 이 진짜로 나타나는데 가브리엘 넌 대체 누구야 ,"['살인', '계속', '더', '가까이', '당신', '뒤', '폭력', '남편', '죽음', '이후', '연쇄', '살인', '현장', '시작', '적', '상상', '속', '친구', '가브리엘', '이', '진짜', '가브리엘', '넌', '대체', '누구']",살인 계속 더 가까이 당신 뒤 폭력 남편 죽음 이후 연쇄 살인 현장 시작 적 상상 속 친구 가브리엘 이 진짜 가브리엘 넌 대체 누구,스릴러  미스터리,스릴러  미스터리 살인 계속 더 가까이 당신 뒤 폭력 남편 죽음 이후 연쇄 살인 현장 시작 적 상상 속 친구 가브리엘 이 진짜 가브리엘 넌 대체 누구
113,말임씨를 부탁해,http://www.cine21.com/movie/info/?movie_id=59017,"https://image.cine21.com/resize/cine21/poster/2022/0401/59017_6246585584824[X224,320].jpg","드라마, 가족",전체 관람가, 109분, 2022-04-13,6.0," 
													김영옥													김영민													 ","남 같은 가족, 가족 같은 남
85세 정말임 여사의 선택은?
									85세 대구의 꼬장 할매 정말임 여사는 자식 도움 1도 필요 없다며
인생 2막을 내돈내산 나홀로라이프로 즐기려 했건만 이놈의 몸이 말썽!
오랜만에 외아들 종욱의 방문 탓에 팔이 부러지고,
이 사고로 요양보호사 미선을 들이게 된다.
엄마 걱정에 CCTV까지 들이는 아들과는 마음과 다르게 모진 말만 오가고,
요양보호사는 어쩐지 꿍꿍이가 있는 것 같아 영 맘에 안 든다.
그렇게 마찰과 화해를 반복하던 중 종욱 가족이 불쑥 찾아온 명절날,
묻어두었던 관계의 갈등이 터져버리는데….

가족이 뭐 별거야? 이제 함께 살 테니 “우리 말임씨를 부탁해!”",남 같은 가족 가족 같은 남 85세 정말임 여사의 선택은 85세 대구의 꼬장 할매 정말임 여사는 자식 도움 1도 필요 없다며 인생 2막을 내돈내산 나홀로라이프로 즐기려 했건만 이놈의 몸이 말썽 오랜만에 외아들 종욱의 방문 탓에 팔이 부러지고 이 사고로 요양보호사 미선을 들이게 된다 엄마 걱정에 CCTV까지 들이는 아들과는 마음과 다르게 모진 말만 오가고 요양보호사는 어쩐지 꿍꿍이가 있는 것 같아 영 맘에 안 든다 그렇게 마찰과 화해를 반복하던 중 종욱 가족이 불쑥 찾아온 명절날 묻어두었던 관계의 갈등이 터져버리는데 가족이 뭐 별거야 이제 함께 살 테니 우리 말임씨를 부탁해 ,"['남', '같다', '가족', '가족', '같다', '남', '세', '정말', '임', '여사', '선택', '세', '대구', '꼬장', '정말', '임', '여사', '자식', '도움', '도', '필요', '없다', '인생', '막', '돈', '산', '나', '홀로', '라이프', '놈', '몸', '말썽', '만', '외아들', '종욱', '방문', '탓', '팔이', '이', '사고', '요양보호사', '밉다', '선', '엄마', '걱정', '아들', '마음', '다르다', '모진', '말', '요양보호사', '어쩐지', '꿍꿍', '있다', '것', '같다', '영', '맘', '안', '마찰', '화해', '반복', '중', '종욱', '가족', '불쑥', '명절', '날', '관계', '갈등', '가족', '뭐', '별거', '이제', '살', '테', '우리', '말', '임씨', '부탁']",남 같다 가족 가족 같다 남 세 정말 임 여사 선택 세 대구 꼬장 정말 임 여사 자식 도움 도 필요 없다 인생 막 돈 산 나 홀로 라이프 놈 몸 말썽 만 외아들 종욱 방문 탓 팔이 이 사고 요양보호사 밉다 선 엄마 걱정 아들 마음 다르다 모진 말 요양보호사 어쩐지 꿍꿍 있다 것 같다 영 맘 안 마찰 화해 반복 중 종욱 가족 불쑥 명절 날 관계 갈등 가족 뭐 별거 이제 살 테 우리 말 임씨 부탁,드라마  가족,드라마  가족 남 같다 가족 가족 같다 남 세 정말 임 여사 선택 세 대구 꼬장 정말 임 여사 자식 도움 도 필요 없다 인생 막 돈 산 나 홀로 라이프 놈 몸 말썽 만 외아들 종욱 방문 탓 팔이 이 사고 요양보호사 밉다 선 엄마 걱정 아들 마음 다르다 모진 말 요양보호사 어쩐지 꿍꿍 있다 것 같다 영 맘 안 마찰 화해 반복 중 종욱 가족 불쑥 명절 날 관계 갈등 가족 뭐 별거 이제 살 테 우리 말 임씨 부탁
114,매미소리,http://www.cine21.com/movie/info/?movie_id=57239,"https://image.cine21.com/resize/cine21/poster/2022/0207/57239_62007992d32a2[X224,320].jpg","드라마, 가족",15세이상관람가, 123분, 2022-02-24,4.0," 
													이양희													주보비													 ","여기 소리에 울고 웃는 부녀가 있다
									매미소리만 들으면 곡소리를 내는 딸, '수남'
곡소리 나는 초상집만 다니면 신명이 나는 아버지, '덕배'

최악의 죽음을 맞이하려는 딸과
최고의 죽음을 찾으려는 아버지

진도의 어느 뜨거운 여름날
20년 만에 마주친 부녀의
듣그러운 불협화음 한 판이 울려 퍼진다!",여기 소리에 울고 웃는 부녀가 있다 매미소리만 들으면 곡소리를 내는 딸 수남 곡소리 나는 초상집만 다니면 신명이 나는 아버지 덕배 최악의 죽음을 맞이하려는 딸과 최고의 죽음을 찾으려는 아버지 진도의 어느 뜨거운 여름날 20년 만에 마주친 부녀의 듣그러운 불협화음 한 판이 울려 퍼진다 ,"['여기', '소리', '울', '부녀', '있다', '매미', '소리', '곡', '소리', '딸', '남', '곡', '소리', '나', '초상집', '신명', '나', '아버지', '덕배', '최악', '죽음', '맞이', '딸', '최고', '죽음', '아버지', '진도', '뜨겁다', '여름날', '부녀', '그렇다', '불협화음', '판이']",여기 소리 울 부녀 있다 매미 소리 곡 소리 딸 남 곡 소리 나 초상집 신명 나 아버지 덕배 최악 죽음 맞이 딸 최고 죽음 아버지 진도 뜨겁다 여름날 부녀 그렇다 불협화음 판이,드라마  가족,드라마  가족 여기 소리 울 부녀 있다 매미 소리 곡 소리 딸 남 곡 소리 나 초상집 신명 나 아버지 덕배 최악 죽음 맞이 딸 최고 죽음 아버지 진도 뜨겁다 여름날 부녀 그렇다 불협화음 판이
115,매스,http://www.cine21.com/movie/info/?movie_id=58869,"https://image.cine21.com/resize/cine21/poster/2022/0425/58869_626600c97855f[X224,320].jpg",드라마,12세이상관람가, 111분, 2022-05-18,9.5," 
													제이슨 아이삭스													앤 도드													 ","“해주고 싶은 얘기가 있어요”
✦
									돌이킬 수 없는 사건으로 아이를 잃은 두 부부의
슬픔, 분노, 절망, 후회가 폭발하는
111분의 마스터피스", 해주고 싶은 얘기가 있어요 돌이킬 수 없는 사건으로 아이를 잃은 두 부부의 슬픔 분노 절망 후회가 폭발하는 111분의 마스터피스,"['얘기', '있다', '수', '없다', '사건', '아이', '두', '부부', '슬픔', '분노', '절망', '후회', '폭발', '마스터피스']",얘기 있다 수 없다 사건 아이 두 부부 슬픔 분노 절망 후회 폭발 마스터피스,드라마,드라마 얘기 있다 수 없다 사건 아이 두 부부 슬픔 분노 절망 후회 폭발 마스터피스
116,매직 스쿨: 초보마법사 아우라의 대모험,http://www.cine21.com/movie/info/?movie_id=58381,"https://image.cine21.com/resize/cine21/poster/2021/0903/15_48_16__6131c53078255[X224,320].jpg","판타지, 애니메이션",전체 관람가, 90분, 2021-10-07,," 
													벤 디스킨													마이클 존스턴													 ","비가 내리던 어느 날 밤,
요상하게 생긴 로봇과 같이 어느 집 앞에 버려진 소녀 아우라.
한 아주머니의 사랑으로 열 여섯 살 소녀가 된 아우라는
자신이 마법의 능력을 갖고 있다는 걸 알게 된다.

그리고 꿈에 그리던 몬트로즈 마법학교에 입학하게 된 아우라.
학교에서 만난 친구들과 마법사가 되기 위해
기상천외한 수업을 듣게 되는데
어쩐지 이 학교에 비밀이 숨겨져 있는 것 같다.

과연 초보마법사 아우라는 마법학교의 비밀을 밝혀 낼 수 있을까?",비가 내리던 어느 날 밤 요상하게 생긴 로봇과 같이 어느 집 앞에 버려진 소녀 아우라 한 아주머니의 사랑으로 열 여섯 살 소녀가 된 아우라는 자신이 마법의 능력을 갖고 있다는 걸 알게 된다 그리고 꿈에 그리던 몬트로즈 마법학교에 입학하게 된 아우라 학교에서 만난 친구들과 마법사가 되기 위해 기상천외한 수업을 듣게 되는데 어쩐지 이 학교에 비밀이 숨겨져 있는 것 같다 과연 초보마법사 아우라는 마법학교의 비밀을 밝혀 낼 수 있을까 ,"['비', '날', '밤', '상하', '로봇', '집', '앞', '버려진', '소녀', '아우라', '아주머니', '사랑', '열', '여섯', '살', '소녀', '아우라', '자신', '마법', '능력', '있다', '걸', '알', '꿈', '몬트로즈', '마법', '학교', '입학', '아우라', '학교', '만난', '친구', '마법사', '위해', '기상', '외한', '수업', '어쩐지', '이', '학교', '비밀', '있다', '것', '같다', '과연', '초보', '마법사', '아우라', '마법', '학교', '비밀', '낼', '수', '있다']",비 날 밤 상하 로봇 집 앞 버려진 소녀 아우라 아주머니 사랑 열 여섯 살 소녀 아우라 자신 마법 능력 있다 걸 알 꿈 몬트로즈 마법 학교 입학 아우라 학교 만난 친구 마법사 위해 기상 외한 수업 어쩐지 이 학교 비밀 있다 것 같다 과연 초보 마법사 아우라 마법 학교 비밀 낼 수 있다,판타지  애니메이션,판타지  애니메이션 비 날 밤 상하 로봇 집 앞 버려진 소녀 아우라 아주머니 사랑 열 여섯 살 소녀 아우라 자신 마법 능력 있다 걸 알 꿈 몬트로즈 마법 학교 입학 아우라 학교 만난 친구 마법사 위해 기상 외한 수업 어쩐지 이 학교 비밀 있다 것 같다 과연 초보 마법사 아우라 마법 학교 비밀 낼 수 있다
117,매직아치,http://www.cine21.com/movie/info/?movie_id=57962,"https://image.cine21.com/resize/cine21/poster/2021/0429/17_57_45__608a750996341[X224,320].jpg","코미디, 애니메이션",전체 관람가, 82분, 2021-07-01,,,"무엇을 상상하든! 무엇을 원하든!
소원을 이뤄주는 신비한 매직아치!
									깊은 바닷 속 소심한 돌고래 ‘델피’는
오래 전 모험을 떠난 아버지에게 들은 숨겨진 도시를 찾기 위한 탐험 중
원하는 것으로 변신시켜주는 ‘매직아치’를 발견하게 된다.

한편, 시시탐탐 피쉬타운을 노리던 곰치들은 ‘매직아치’의 존재를 알게 되자
‘매직아치’를 이용해 피쉬타운을 차지하려 하는데…

과연 델피는 피쉬타운의 평화를 지키고 용감한 돌고래가 될 수 있을까?",무엇을 상상하든 무엇을 원하든 소원을 이뤄주는 신비한 매직아치 깊은 바닷 속 소심한 돌고래 델피 는 오래 전 모험을 떠난 아버지에게 들은 숨겨진 도시를 찾기 위한 탐험 중 원하는 것으로 변신시켜주는 매직아치 를 발견하게 된다 한편 시시탐탐 피쉬타운을 노리던 곰치들은 매직아치 의 존재를 알게 되자 매직아치 를 이용해 피쉬타운을 차지하려 하는데 과연 델피는 피쉬타운의 평화를 지키고 용감한 돌고래가 될 수 있을까 ,"['무엇', '상상', '무엇', '원하다', '소원', '신비하다', '매직', '아치', '깊다', '바닷', '속', '소심하다', '돌고래', '델피', '전', '모험', '아버지', '도시', '찾기', '위', '탐험', '중', '원하다', '것', '변신', '매직', '아치', '를', '발견', '한편', '탐탐', '피쉬', '타운', '곰치', '매직', '아치', '의', '존재', '알', '매직', '아치', '를', '이용', '피쉬', '타운', '차지', '과연', '델피', '피쉬', '타운', '평화', '용감하다', '돌고래', '수', '있다']",무엇 상상 무엇 원하다 소원 신비하다 매직 아치 깊다 바닷 속 소심하다 돌고래 델피 전 모험 아버지 도시 찾기 위 탐험 중 원하다 것 변신 매직 아치 를 발견 한편 탐탐 피쉬 타운 곰치 매직 아치 의 존재 알 매직 아치 를 이용 피쉬 타운 차지 과연 델피 피쉬 타운 평화 용감하다 돌고래 수 있다,코미디  애니메이션,코미디  애니메이션 무엇 상상 무엇 원하다 소원 신비하다 매직 아치 깊다 바닷 속 소심하다 돌고래 델피 전 모험 아버지 도시 찾기 위 탐험 중 원하다 것 변신 매직 아치 를 발견 한편 탐탐 피쉬 타운 곰치 매직 아치 의 존재 알 매직 아치 를 이용 피쉬 타운 차지 과연 델피 피쉬 타운 평화 용감하다 돌고래 수 있다
